States/UTs,Category,Total geographical area,Reporting area for land utilization,Forests,Not available for cultivation,Permanent pastures and other grazing lands,Land under miscellaneous tree crops & groves,Culturable wasteland,Fallow lands other than current fallows,Current fallows,Net area sown
Andhra Pradesh,Area,27507,27505,6210,4781,602,320,695,1583,3166,10147
Andhra Pradesh,Percentage to Geographical Area,NA,100,22.58,17.38,2.19,1.16,2.53,5.76,11.51,36.89
Arunachal Pradesh,Area,8374,5659,5154,65,18,37,67,73,37,209
Arunachal Pradesh,Percentage to Geographical Area,NA,100,91.08,1.15,0.32,0.65,1.18,1.29,0.65,3.69
Assam,Area,7844,7850,1954,2512,160,209,77,60,127,2753
Assam,Percentage to Geographical Area,NA,100,24.89,32,2.04,2.66,0.98,0.76,1.62,35.07
Bihar,Area,9416,9360,622,2083,17,240,46,129,666,5556
Bihar,Percentage to Geographical Area,NA,100,6.65,22.25,0.18,2.56,0.49,1.38,7.12,59.36
Chhattisgarh,Area,13519,13790,6355,996,857,1,350,238,271,4772
Chhattisgarh,Percentage to Geographical Area,NA,100,46.08,7.22,6.21,0.01,2.54,1.73,1.97,34.24
Delhi,Area,148,147,1,92,0,1,10,8,12,23
Delhi,Percentage to Geographical Area,NA,100,0.68,62.59,0,0.68,6.8,5.44,8.16,15.65
Goa,Area,370,361,125,37,1,1,53,NA,7,137
Goa,Percentage to Geographical Area,NA,100,34.63,10.25,0.28,0.28,14.68,0,1.94,37.95
Gujarat,Area,19602,18868,1854,3752,850,4,1977,11,568,9852
Gujarat,Percentage to Geographical Area,NA,100,9.83,19.89,4.5,0.02,10.48,0.06,3.01,52.22
Haryana,Area,4421,4372,39,524,27,12,65,8,141,3556
Haryana,Percentage to Geographical Area,NA,100,0.89,11.99,0.62,0.27,1.49,0.18,3.23,81.34
Himachal Pradesh,Area,5567,4545,1101,1130,1501,69,127,14,60,543
Himachal Pradesh,Percentage to Geographical Area,NA,100,24.22,24.86,33.03,1.52,2.79,0.31,1.32,11.95
Jammu & Kashmir,Area,22224,3781,2023,582,128,72,146,16,74,742
Jammu & Kashmir,Percentage to Geographical Area,NA,100,53.5,15.39,3.39,1.9,3.86,0.42,1.96,19.62
Jharkhand,Area,7972,7970,2333,1365,88,113,274,783,1244,1769
Jharkhand,Percentage to Geographical Area,NA,100,29.27,17.13,1.1,1.42,3.44,9.82,15.61,22.2
Karnataka,Area,19179,19050,3072,2151,934,292,416,515,1565,10105
Karnataka,Percentage to Geographical Area,NA,100,16.13,11.29,4.9,1.53,2.18,2.7,8.22,53.04
Kerala,Area,3886,3886,1082,475,0,9,90,47,82,2101
Kerala,Percentage to Geographical Area,NA,100,27.84,12.22,0,0.23,2.32,1.21,2.11,54.07
Madhya Pradesh,Area,30825,30756,8699,3398,1348,19,1177,612,769,14735
Madhya Pradesh,Percentage to Geographical Area,NA,100,28.28,11.05,4.38,0.06,3.83,1.99,2.5,47.91
Mahrashtra,Area,30771,30758,5214,3131,1252,249,914,1199,1325,17475
